id,filename,name,hash,cropped_filename,fingerprints,labels,cropped_fingerprints,cropped_labels,cluster
2cd95bb503dd5f80ca716f4e7f78eb3a5bc204459fdc17ddad39acb32a3239e4,./data/Mad_Mughal_Memes-913.jpg,Mad_Mughal_Memes-913,2cd95bb503dd5f80ca716f4e7f78eb3a5bc204459fdc17ddad39acb32a3239e4,./data/cropped/Mad_Mughal_Memes-913.jpg,[0.48019585 0.53018844 0.41029197 ... 0.00753646 1.1412206  0.04969254],"[['prayer_rug', 0.9963236], ['purse', 0.0005611719], ['vault', 0.00048389746], ['velvet', 0.00037333334], ['quilt', 0.0003244746]]",[0.28009996 1.6847258  0.01163565 ... 0.         0.0680883  0.5092009 ],"[['prayer_rug', 0.81796145], ['vault', 0.13771516], ['palace', 0.031283114], ['dome', 0.00511834], ['church', 0.0044444995]]",9
ef9dba24a5dc31bfacd81be8746c38676a0ffe5ef890048908fc0cf6929b7477,./data/Mad_Mughal_Memes-93.jpg,Mad_Mughal_Memes-93,ef9dba24a5dc31bfacd81be8746c38676a0ffe5ef890048908fc0cf6929b7477,./data/cropped/Mad_Mughal_Memes-93.jpg,[0.4324203  0.7835244  0.13503277 ... 0.         0.39947742 0.4764507 ],"[['palace', 0.40468404], ['triumphal_arch', 0.07542255], ['library', 0.07184835], ['chest', 0.061124377], ['thimble', 0.057241105]]",[0.00298025 0.77202857 0.05274132 ... 0.18197201 0.17018488 0.20947918],"[['palace', 0.75987065], ['bookcase', 0.053417988], ['library', 0.023110839], ['triumphal_arch', 0.022797847], ['prayer_rug', 0.020673161]]",42
23d00f75a149375b27d6dda835432f359e0601393fb594fcd4819beb8f40e1fd,./data/Mad_Mughal_Memes-950.jpg,Mad_Mughal_Memes-950,23d00f75a149375b27d6dda835432f359e0601393fb594fcd4819beb8f40e1fd,./data/cropped/Mad_Mughal_Memes-950.jpg,[0.34879592 0.23891032 0.13205469 ... 0.27455562 1.4037364  0.03334775],"[['prayer_rug', 0.5540269], ['quilt', 0.28167042], ['pizza', 0.09559466], ['jigsaw_puzzle', 0.0061133453], ['shower_curtain', 0.005151604]]",[0.17802054 0.1540014  0.7022637  ... 0.71074295 0.8203049  0.02052766],"[['prayer_rug', 0.7925756], ['quilt', 0.06766085], ['maze', 0.041029654], ['honeycomb', 0.013934179], ['hot_pot', 0.009697997]]",52
08f4bc153fb270cf4262298728056c4e4a1301e8fd876c99bc54511ca700d240,./data/Mad_Mughal_Memes-974.png,Mad_Mughal_Memes-974,08f4bc153fb270cf4262298728056c4e4a1301e8fd876c99bc54511ca700d240,./data/cropped/Mad_Mughal_Memes-974.jpg,[0.5007911  0.         3.4313874  ... 0.         0.06365757 0.        ],"[['corn', 0.5291962], ['coral_fungus', 0.42464808], ['ear', 0.026883977], ['hen-of-the-woods', 0.0068847886], ['wooden_spoon', 0.002459109]]",[0.13988921 0.01006521 2.0546498  ... 0.14542519 0.62349445 0.00858549],"[['coral_fungus', 0.99884665], ['hen-of-the-woods', 0.00069935754], ['corn', 0.00015991599], ['broom', 6.73133e-05], ['ear', 5.0318744e-05]]",77
200b5c659c0ef6c39ebac155a383491fce5d8fb2a1bd8750703d63cd6796938c,./data/Mad_Mughal_Memes-988.png,Mad_Mughal_Memes-988,200b5c659c0ef6c39ebac155a383491fce5d8fb2a1bd8750703d63cd6796938c,./data/cropped/Mad_Mughal_Memes-988.jpg,[0.01504928 0.61813575 0.16167821 ... 0.30377477 0.8458297  0.00364171],"[['scale', 0.2419118], ['drum', 0.12346388], ['toilet_seat', 0.07084736], ['coffee_mug', 0.02259199], ['pitcher', 0.02097441]]",[0.00266017 0.76807207 0.74538964 ... 0.37318143 1.0489255  0.00280509],"[['shield', 0.6155937], ['gong', 0.2093795], ['thimble', 0.049227696], ['bolo_tie', 0.020454297], ['ladle', 0.020348804]]",16
58cdcd8f5c0b69e93dc7f24a69d3154cbb2c517b0c8dca8a19f44559aca1a668,./data/Nefarious_Napoleonic_Memes-1030.png,Nefarious_Napoleonic_Memes-1030,58cdcd8f5c0b69e93dc7f24a69d3154cbb2c517b0c8dca8a19f44559aca1a668,./data/cropped/Nefarious_Napoleonic_Memes-1030.jpg,[0.01137849 0.         0.03921799 ... 0.03883167 0.         0.9499842 ],"[['drumstick', 0.19263619], ['comic_book', 0.18207425], ['doormat', 0.16590068], ['laptop', 0.08950413], ['web_site', 0.07677797]]",[0.03757493 0.10266319 0.2811832  ... 0.15756539 0.09229603 1.6092448 ],"[['coil', 0.25653714], ['table_lamp', 0.1305601], ['restaurant', 0.09747179], ['organ', 0.09678956], ['shoji', 0.07759975]]",27
d99b746152f52105931f984357edf803023869ef070b598c3040f163a5e3d58d,./data/Nefarious_Napoleonic_Memes-105.jpg,Nefarious_Napoleonic_Memes-105,d99b746152f52105931f984357edf803023869ef070b598c3040f163a5e3d58d,./data/cropped/Nefarious_Napoleonic_Memes-105.jpg,[0.24682313 1.7339945  0.05425166 ... 0.51406866 1.9029704  1.9670343 ],"[['strainer', 0.65312964], ['spatula', 0.19146149], ['toilet_seat', 0.032083966], ['frying_pan', 0.021461297], ['wall_clock', 0.014607026]]",[0.01859079 1.2768526  0.         ... 0.6327457  1.3237222  1.3978256 ],"[['toilet_seat', 0.52320796], ['ocarina', 0.09297133], ['strainer', 0.08315486], ['electric_guitar', 0.054585174], ['birdhouse', 0.039351676]]",8
06be2cc6a0f2d82dc00dca56cf54bc0780875497ddaf7b2e2591c63d0c1a90b5,./data/Nefarious_Napoleonic_Memes-1084.png,Nefarious_Napoleonic_Memes-1084,06be2cc6a0f2d82dc00dca56cf54bc0780875497ddaf7b2e2591c63d0c1a90b5,./data/cropped/Nefarious_Napoleonic_Memes-1084.jpg,[2.8643951  1.7547266  0.44775388 ... 0.21967772 1.6770372  1.3543355 ],"[['jellyfish', 0.82689357], ['web_site', 0.12211485], ['coral_reef', 0.0053539486], ['cup', 0.0033778735], ['menu', 0.0031672097]]",[1.5135713  0.32691473 0.13186035 ... 0.24906671 0.81856126 0.75475085],"[['Petri_dish', 0.5232428], ['jellyfish', 0.3754903], ['electric_fan', 0.011803788], ['monitor', 0.010905211], ['coral_reef', 0.008487927]]",27
dafdaa5272a08cd82df5f90dd713c84a3a9bc033dd6a3ff6e429cab24544e52d,./data/Nefarious_Napoleonic_Memes-1108.jpg,Nefarious_Napoleonic_Memes-1108,dafdaa5272a08cd82df5f90dd713c84a3a9bc033dd6a3ff6e429cab24544e52d,./data/cropped/Nefarious_Napoleonic_Memes-1108.jpg,"[6.36687219e-01 1.97934437e+00 5.25759184e-04 ... 2.14020267e-01
 1.01396404e-01 3.90999222e+00]","[['mushroom', 0.27066046], ['cowboy_hat', 0.13057715], ['web_site', 0.12584384], ['bolete', 0.09253594], ['vizsla', 0.05248754]]",[0.01712206 2.302868   0.03187241 ... 0.07868494 0.26056957 3.7966082 ],"[['plate_rack', 0.7024935], ['hen-of-the-woods', 0.0795048], ['bolete', 0.03486559], ['rotisserie', 0.016010413], ['bolo_tie', 0.01560659]]",33
47314adfd386ae0b115164fd21c9e97aaa423fc50a76811fc0bc4828d2c47c2f,./data/Nefarious_Napoleonic_Memes-1142.png,Nefarious_Napoleonic_Memes-1142,47314adfd386ae0b115164fd21c9e97aaa423fc50a76811fc0bc4828d2c47c2f,./data/cropped/Nefarious_Napoleonic_Memes-1142.jpg,[0.6206438  0.03214538 0.2807775  ... 0.7026519  0.14218044 1.9683079 ],"[['menu', 0.50141704], ['web_site', 0.27046093], ['drumstick', 0.07488986], ['wooden_spoon', 0.05555267], ['remote_control', 0.010654237]]",[0.26021606 0.02577485 0.01786668 ... 0.57158244 0.04381795 1.8092743 ],"[['paintbrush', 0.25170207], ['tobacco_shop', 0.24513833], ['abacus', 0.15298143], ['confectionery', 0.110716864], ['organ', 0.053900715]]",27
